"sysdate","variable","municipio","value"
2022-01-16,"regular","Guadalajara",20.9958914728682
2022-01-17,"regular","Guadalajara",20.9891472868217
2022-01-18,"regular","Guadalajara",21.0002325581395
2022-01-19,"regular","Guadalajara",21.0181395348837
2022-01-20,"regular","Guadalajara",21.026976744186
2022-01-21,"regular","Guadalajara",21.0304651162791
2022-01-22,"regular","Guadalajara",21.0454263565891
2022-01-23,"regular","Guadalajara",21.0455813953488
2022-01-24,"regular","Guadalajara",21.0408527131783
2022-01-25,"regular","Guadalajara",21.0537984496124
2022-01-26,"regular","Guadalajara",21.0571317829457
2022-01-27,"regular","Guadalajara",21.063488372093
2022-01-28,"regular","Guadalajara",21.0696899224806
2022-01-29,"regular","Guadalajara",21.0715503875969
2022-01-30,"regular","Guadalajara",21.0771317829457
2022-01-31,"regular","Guadalajara",21.0759689922481
2022-02-01,"regular","Guadalajara",21.0853488372093
2022-02-02,"regular","Guadalajara",21.0791472868217
2022-01-01,"diesel","Tlajomulco de Zúñiga",21.5081481481481
2022-01-02,"diesel","Tlajomulco de Zúñiga",21.512962962963
2022-01-03,"diesel","Tlajomulco de Zúñiga",21.512962962963
2022-01-04,"diesel","Tlajomulco de Zúñiga",21.5211111111111
2022-01-05,"diesel","Tlajomulco de Zúñiga",21.5598148148148
2022-01-06,"diesel","Tlajomulco de Zúñiga",21.5757407407407
2022-01-07,"diesel","Tlajomulco de Zúñiga",21.592962962963
2022-01-08,"diesel","Tlajomulco de Zúñiga",21.6074074074074
2022-01-09,"diesel","Tlajomulco de Zúñiga",21.6264814814815
2022-01-10,"diesel","Tlajomulco de Zúñiga",21.6264814814815
2022-01-11,"diesel","Tlajomulco de Zúñiga",21.6264814814815
2022-01-12,"diesel","Tlajomulco de Zúñiga",21.6377777777778
2022-01-13,"diesel","Tlajomulco de Zúñiga",21.6598148148148
2022-01-14,"diesel","Tlajomulco de Zúñiga",21.6805555555556
2022-01-15,"diesel","Tlajomulco de Zúñiga",21.682037037037
2022-01-16,"diesel","Tlajomulco de Zúñiga",21.6875925925926
2022-01-17,"diesel","Tlajomulco de Zúñiga",21.6875925925926
2022-01-18,"diesel","Tlajomulco de Zúñiga",21.6912962962963
2022-01-19,"diesel","Tlajomulco de Zúñiga",21.6972222222222
2022-01-20,"diesel","Tlajomulco de Zúñiga",21.6972222222222
2022-01-21,"diesel","Tlajomulco de Zúñiga",21.7133333333333
2022-01-22,"diesel","Tlajomulco de Zúñiga",21.72
2022-01-23,"diesel","Tlajomulco de Zúñiga",21.7237037037037
2022-01-24,"diesel","Tlajomulco de Zúñiga",21.7274074074074
2022-01-25,"diesel","Tlajomulco de Zúñiga",21.7274074074074
2022-01-26,"diesel","Tlajomulco de Zúñiga",21.7307407407407
2022-01-27,"diesel","Tlajomulco de Zúñiga",21.7424074074074
2022-01-28,"diesel","Tlajomulco de Zúñiga",21.7651851851852
2022-01-29,"diesel","Tlajomulco de Zúñiga",21.7692592592593
2022-01-30,"diesel","Tlajomulco de Zúñiga",21.7798148148148
2022-01-31,"diesel","Tlajomulco de Zúñiga",21.7798148148148
2022-02-01,"diesel","Tlajomulco de Zúñiga",21.7853703703704
2022-02-02,"diesel","Tlajomulco de Zúñiga",21.7927777777778
2022-01-01,"premium","Tlajomulco de Zúñiga",22.91859375
2022-01-02,"premium","Tlajomulco de Zúñiga",22.91796875
2022-01-03,"premium","Tlajomulco de Zúñiga",22.91796875
2022-01-04,"premium","Tlajomulco de Zúñiga",22.92109375
2022-01-05,"premium","Tlajomulco de Zúñiga",22.93453125
2022-01-06,"premium","Tlajomulco de Zúñiga",22.96671875
2022-01-07,"premium","Tlajomulco de Zúñiga",22.98828125
2022-01-08,"premium","Tlajomulco de Zúñiga",23.00359375
2022-01-09,"premium","Tlajomulco de Zúñiga",23.02234375
2022-01-10,"premium","Tlajomulco de Zúñiga",23.02234375
2022-01-11,"premium","Tlajomulco de Zúñiga",23.035
2022-01-12,"premium","Tlajomulco de Zúñiga",23.0515625
2022-01-13,"premium","Tlajomulco de Zúñiga",23.0765625
2022-01-14,"premium","Tlajomulco de Zúñiga",23.076875
2022-01-15,"premium","Tlajomulco de Zúñiga",23.0821875
2022-01-16,"premium","Tlajomulco de Zúñiga",23.080625
2022-01-17,"premium","Tlajomulco de Zúñiga",23.080625
2022-01-18,"premium","Tlajomulco de Zúñiga",23.08703125
2022-01-19,"premium","Tlajomulco de Zúñiga",23.09890625
2022-01-20,"premium","Tlajomulco de Zúñiga",23.09890625
2022-01-21,"premium","Tlajomulco de Zúñiga",23.1109375
2022-01-22,"premium","Tlajomulco de Zúñiga",23.13921875
2022-01-23,"premium","Tlajomulco de Zúñiga",23.1396875
2022-01-24,"premium","Tlajomulco de Zúñiga",23.1428125
2022-01-25,"premium","Tlajomulco de Zúñiga",23.14609375
2022-01-26,"premium","Tlajomulco de Zúñiga",23.15125
2022-01-27,"premium","Tlajomulco de Zúñiga",23.1503125
2022-01-28,"premium","Tlajomulco de Zúñiga",23.15265625
2022-01-29,"premium","Tlajomulco de Zúñiga",23.160625
2022-01-30,"premium","Tlajomulco de Zúñiga",23.16828125
2022-01-31,"premium","Tlajomulco de Zúñiga",23.16828125
2022-02-01,"premium","Tlajomulco de Zúñiga",23.17625
2022-02-02,"premium","Tlajomulco de Zúñiga",23.1778125
2022-01-01,"regular","Tlajomulco de Zúñiga",20.6065151515152
2022-01-02,"regular","Tlajomulco de Zúñiga",20.6087878787879
2022-01-03,"regular","Tlajomulco de Zúñiga",20.6087878787879
2022-01-04,"regular","Tlajomulco de Zúñiga",20.6133333333333
2022-01-05,"regular","Tlajomulco de Zúñiga",20.6781818181818
2022-01-06,"regular","Tlajomulco de Zúñiga",20.7092424242424
2022-01-07,"regular","Tlajomulco de Zúñiga",20.7286363636364
