"sysdate","variable","value"
2019-06-13,"regular",20.6093220338983
2019-06-14,"regular",20.5861835748792
2019-06-17,"regular",20.5484096385542
2019-06-18,"regular",20.5509352517986
2019-06-19,"regular",20.561175059952
2019-06-20,"regular",20.553995215311
2019-06-21,"regular",20.5450717703349
2019-06-24,"regular",20.5373508353222
2019-06-25,"regular",20.5384248210024
2019-06-26,"regular",20.5484486873508
2019-06-27,"regular",20.5661336515513
2019-06-28,"regular",20.5836515513126
2019-07-02,"regular",20.6019570405728
2019-07-04,"regular",20.6045107398568
2019-07-05,"regular",20.6061097852029
2019-07-08,"regular",20.6078520286396
2019-07-09,"regular",20.6052505966587
2019-07-10,"regular",20.6225059665871
2019-07-11,"regular",20.5934128878282
2019-07-12,"regular",20.5907159904535
2019-07-15,"regular",20.5871599045346
2019-07-16,"regular",20.5849642004773
2019-07-17,"regular",20.5863961813842
2019-07-18,"regular",20.5831742243437
2019-07-19,"regular",20.5834844868735
2019-07-22,"regular",20.579619047619
2019-07-23,"regular",20.5803325415677
2019-07-24,"regular",20.5795724465558
2019-07-25,"regular",20.5774821852732
2019-07-26,"regular",20.5766033254157
2019-07-29,"regular",20.5748456057007
2019-07-30,"regular",20.5755238095238
2019-07-31,"regular",20.558380952381
2019-08-01,"regular",20.5490952380952
2019-08-02,"regular",20.5404761904762
2019-08-05,"regular",20.5491469194313
2019-08-06,"regular",20.5547393364929
2019-08-07,"regular",20.5625118483412
2019-08-08,"regular",20.5501182033097
2019-08-09,"regular",20.5297399527187
2019-08-12,"regular",20.4924586288416
2019-08-13,"regular",20.4861229314421
2019-08-14,"regular",20.4606382978723
2019-08-15,"regular",20.4359101654846
2019-08-16,"regular",20.4123640661939
2019-08-19,"regular",20.3695271867612
2019-08-20,"regular",20.3694326241135
2019-08-21,"regular",20.3775650118203
2019-08-22,"regular",20.3617966903073
2019-08-23,"regular",20.3428368794326
2019-08-27,"regular",20.3429787234043
2019-08-28,"regular",20.3463356973995
2019-08-29,"regular",20.3543498817967
2019-08-30,"regular",20.3852245862884
2019-09-02,"regular",20.4326004728132
2019-09-03,"regular",20.4352718676123
2019-09-04,"regular",20.4317257683215
2019-09-05,"regular",20.4186761229314
2019-09-06,"regular",20.4158156028369
2019-09-09,"regular",20.3937588652482
2019-09-10,"regular",20.3898345153664
2019-09-11,"regular",20.3772104018913
2019-09-12,"regular",20.3792671394799
2019-09-13,"regular",20.3824056603774
2019-09-17,"regular",20.3968632075472
2019-09-18,"regular",20.3954952830189
2019-09-19,"regular",20.3775235849057
2019-09-20,"regular",20.3702594339623
2019-09-23,"regular",20.3754952830189
2019-09-24,"regular",20.3729716981132
2019-09-25,"regular",20.3845283018868
2019-09-26,"regular",20.3949528301887
2019-09-30,"regular",20.4114386792453
2019-10-01,"regular",20.4111320754717
2019-10-02,"regular",20.4155896226415
2019-10-03,"regular",20.412570754717
2019-10-04,"regular",20.4096698113208
2019-10-07,"regular",20.3961647058824
2019-10-08,"regular",20.3995518867925
2019-10-09,"regular",20.3916509433962
2019-10-21,"regular",20.3779716981132
2019-10-30,"regular",20.3425235849057
2019-11-01,"regular",20.3353301886792
2019-11-04,"regular",20.3425471698113
2019-11-05,"regular",20.3468632075472
2019-11-06,"regular",20.3570518867925
2019-11-07,"regular",20.3587264150943
2019-11-11,"regular",20.3590801886792
2019-11-13,"regular",20.3624235294118
2019-11-14,"regular",20.3590588235294
2019-11-19,"regular",20.3568470588235
2019-11-20,"regular",20.3590588235294
2019-11-26,"regular",20.3799531615925
2019-11-27,"regular",20.393700234192
2019-11-28,"regular",20.4040983606557
2019-11-29,"regular",20.4437470725995
2019-12-02,"regular",20.4769789227166
2019-12-03,"regular",20.4898594847775
2019-12-04,"regular",20.4995081967213
2019-12-05,"regular",20.499718969555
2019-12-09,"regular",20.4765573770492
2019-12-11,"regular",20.4730444964871
2019-12-12,"regular",20.465831381733
2019-12-13,"regular",20.4574473067916
2019-12-16,"regular",20.4277985948478
2019-12-17,"regular",20.4352693208431
2019-12-18,"regular",20.4473536299766
2019-12-19,"regular",20.4450351288056
2019-12-20,"regular",20.467681498829
2020-01-08,"regular",20.6144964871194
2020-01-09,"regular",20.6059016393443
2020-01-10,"regular",20.6028805620609
2020-01-13,"regular",20.5740515222482
2020-01-14,"regular",20.5806557377049
2020-01-15,"regular",20.5811007025761
2020-01-16,"regular",20.5694379391101
2020-01-17,"regular",20.565831381733
2020-01-20,"regular",20.5374473067916
2020-01-21,"regular",20.5513348946136
2020-01-22,"regular",20.5631615925059
2020-01-23,"regular",20.5655503512881
2020-01-24,"regular",20.565737704918
2020-01-27,"regular",20.5599297423888
2020-01-28,"regular",20.5767681498829
2020-01-30,"regular",20.5551053864169
2020-01-31,"regular",20.5453629976581
2020-02-04,"regular",20.497546728972
2020-02-05,"regular",20.4864485981308
2020-02-10,"regular",20.3901398601399
2020-02-11,"regular",20.3868925233645
2020-02-13,"regular",20.3873130841122
2020-02-17,"regular",20.3935280373832
2020-02-18,"regular",20.4034265734266
2020-02-19,"regular",20.410303030303
2020-02-20,"regular",20.4089976689977
2020-02-21,"regular",20.4145221445221
2020-02-24,"regular",20.4511888111888
2020-02-25,"regular",20.4603496503496
2020-02-26,"regular",20.4664801864802
2020-02-27,"regular",20.4816317016317
2020-02-28,"regular",20.4822144522145
2020-03-02,"regular",20.4121212121212
2020-03-03,"regular",20.4165501165501
2020-03-04,"regular",20.3938694638695
2020-03-05,"regular",20.3888578088578
2020-03-06,"regular",20.3900233100233
2020-03-09,"regular",20.3654312354312
2020-03-10,"regular",20.3721212121212
2020-03-11,"regular",20.3446853146853
2020-03-12,"regular",20.2557342657343
2020-03-13,"regular",20.1606526806527
2020-03-17,"regular",19.6773193473193
2020-03-18,"regular",19.5453846153846
2020-03-19,"regular",19.1986247086247
2020-03-20,"regular",18.9538565022422
2020-03-21,"regular",18.0422197309417
2020-03-22,"regular",18.0338927738928
2020-03-23,"regular",17.9671794871795
2020-03-24,"regular",17.8245454545455
2020-03-25,"regular",17.5902097902098
2020-03-26,"regular",17.1420979020979
2020-03-27,"regular",17.0117715617716
2020-03-28,"regular",16.8726107226107
2020-03-29,"regular",16.6668997668998
2020-03-30,"regular",16.6076923076923
2020-03-31,"regular",16.4751515151515
2020-04-01,"regular",16.2931934731935
2020-04-02,"regular",16.2010722610723
2020-04-03,"regular",16.117296037296
2020-04-04,"regular",16.0175058275058
2020-04-05,"regular",15.964965034965
2020-04-06,"regular",15.9622377622378
2020-04-07,"regular",15.9289976689977
2020-04-08,"regular",15.9461305361305
2020-04-09,"regular",15.9412354312354
2020-04-10,"regular",15.8998601398601
2020-04-11,"regular",15.8635664335664
2020-04-12,"regular",15.845034965035
2020-04-13,"regular",15.8421911421911
2020-04-14,"regular",15.84337995338
2020-04-15,"regular",15.7947086247086
2020-04-16,"regular",15.7844055944056
2020-04-17,"regular",15.7890930232558
2020-04-18,"regular",15.7916976744186
2020-04-19,"regular",15.8052093023256
2020-04-20,"regular",15.8084418604651
2020-04-21,"regular",15.8074186046512
2020-04-22,"regular",15.781
2020-04-23,"regular",15.7697209302326
2020-04-24,"regular",15.7191860465116
2020-04-25,"regular",15.6986046511628
2020-04-26,"regular",15.6978837209302
2020-04-27,"regular",15.6913953488372
2020-04-28,"regular",15.6889534883721
2020-04-29,"regular",15.6836511627907
2020-04-30,"regular",15.6908604651163
2020-05-01,"regular",15.6935581395349
2020-05-02,"regular",15.7286046511628
2020-05-03,"regular",15.7687209302326
2020-05-04,"regular",15.7906511627907
2020-05-05,"regular",15.8184186046512
2020-05-06,"regular",15.8687674418605
2020-05-07,"regular",15.9730465116279
2020-05-08,"regular",16.2357441860465
2020-05-09,"regular",16.4432093023256
2020-05-10,"regular",16.6279069767442
2020-05-11,"regular",16.6516744186046
2020-05-12,"regular",16.7368372093023
2020-05-13,"regular",16.8856046511628
2020-05-14,"regular",16.9906976744186
2020-05-15,"regular",17.0254418604651
2020-05-16,"regular",17.0383023255814
2020-05-17,"regular",17.0794651162791
2020-05-18,"regular",17.0838837209302
2020-05-19,"regular",17.1025348837209
2020-05-20,"regular",17.1923488372093
2020-05-21,"regular",17.2954418604651
2020-05-22,"regular",17.4511162790698
2020-05-23,"regular",17.5493488372093
2020-05-24,"regular",17.6181162790698
2020-05-25,"regular",17.626
2020-05-26,"regular",17.6453953488372
2020-05-27,"regular",17.6821627906977
2020-05-29,"regular",17.7147441860465
2020-05-30,"regular",17.7092790697674
2020-05-31,"regular",17.7147906976744
2020-06-01,"regular",17.7123255813953
2020-06-02,"regular",17.7223023255814
2020-06-03,"regular",17.7287209302326
2020-06-04,"regular",17.7358139534884
2020-06-05,"regular",17.7556744186047
2020-06-06,"regular",17.7662558139535
2020-06-07,"regular",17.7848139534884
2020-06-08,"regular",17.7898837209302
2020-06-09,"regular",17.8040465116279
2020-06-10,"regular",17.8931162790698
2020-06-11,"regular",17.9648837209302
2020-06-12,"regular",18.0347906976744
2020-06-13,"regular",18.0998604651163
2020-06-14,"regular",18.1224651162791
2020-06-15,"regular",18.1202093023256
2020-06-16,"regular",18.1293255813953
2020-06-17,"regular",18.1290930232558
2020-06-18,"regular",18.1633023255814
2020-06-19,"regular",18.2199534883721
2020-06-20,"regular",18.2734186046512
2020-06-21,"regular",18.4282325581395
2020-06-22,"regular",18.4506046511628
2020-06-23,"regular",18.5002093023256
2020-06-24,"regular",18.6330930232558
2020-06-25,"regular",18.7232325581395
2020-06-26,"regular",18.8241627906977
2020-06-27,"regular",18.8812093023256
2020-06-28,"regular",18.8985581395349
2020-06-29,"regular",18.8982051282051
2020-06-30,"regular",18.9150582750583
2020-07-01,"regular",18.9086013986014
2020-07-02,"regular",18.9604662004662
2020-07-03,"regular",19.0303962703963
2020-07-04,"regular",19.0664335664336
2020-07-05,"regular",19.1090442890443
2020-07-06,"regular",19.1149883449883
2020-07-07,"regular",19.1400233100233
2020-07-08,"regular",19.1785547785548
2020-07-09,"regular",19.2041724941725
2020-07-10,"regular",19.2369230769231
2020-07-11,"regular",19.2973193473193
2020-07-12,"regular",19.340675990676
2020-07-13,"regular",19.3438461538462
2020-07-14,"regular",19.3564568764569
2020-07-15,"regular",19.3768298368298
2020-07-16,"regular",19.3976456876457
2020-07-17,"regular",19.4015850815851
2020-07-18,"regular",19.4193939393939
2020-07-19,"regular",19.4191142191142
2020-07-20,"regular",19.4170862470862
2020-07-21,"regular",19.4224242424242
2020-07-22,"regular",19.3993006993007
2020-07-23,"regular",19.3935431235431
2020-07-24,"regular",19.405710955711
2020-07-25,"regular",19.410675990676
2020-07-26,"regular",19.4086247086247
2020-07-27,"regular",19.4004195804196
2020-07-28,"regular",19.4071561771562
2020-07-29,"regular",19.4052214452214
2020-07-30,"regular",19.3984382284382
2020-07-31,"regular",19.381958041958
2020-08-01,"regular",19.3587412587413
2020-08-02,"regular",19.3289277389277
2020-08-03,"regular",19.3141491841492
2020-08-04,"regular",19.3124242424242
2020-08-05,"regular",19.2795337995338
2020-08-06,"regular",19.2584848484848
2020-08-07,"regular",19.2532634032634
2020-08-08,"regular",19.2384848484848
2020-08-09,"regular",19.2217249417249
2020-08-10,"regular",19.209324009324
2020-08-11,"regular",19.2167132867133
2020-08-12,"regular",19.2069463869464
2020-08-13,"regular",19.1962703962704
2020-08-14,"regular",19.1882051282051
2020-08-15,"regular",19.1801631701632
2020-08-16,"regular",19.171351981352
2020-08-17,"regular",19.1638228438228
2020-08-18,"regular",19.1726806526807
2020-08-19,"regular",19.1660372960373
2020-08-20,"regular",19.1637062937063
2020-08-21,"regular",19.1723543123543
2020-08-22,"regular",19.1700466200466
2020-08-23,"regular",19.1849883449883
2020-08-24,"regular",19.1786247086247
2020-08-25,"regular",19.1907226107226
2020-08-26,"regular",19.1932167832168
2020-08-27,"regular",19.2505827505828
2020-08-28,"regular",19.3115384615385
2020-08-29,"regular",19.3609324009324
2020-08-30,"regular",19.3626806526807
2020-08-31,"regular",19.3573426573427
2020-09-01,"regular",19.3586013986014
2020-09-02,"regular",19.3541958041958
2020-09-03,"regular",19.336013986014
2020-09-04,"regular",19.3238694638695
2020-09-05,"regular",19.3121911421911
2020-09-06,"regular",19.2927272727273
2020-09-07,"regular",19.278344988345
2020-09-08,"regular",19.285337995338
2020-09-09,"regular",19.2644522144522
2020-09-10,"regular",19.2382983682984
2020-09-11,"regular",19.203682983683
2020-09-12,"regular",19.1662004662005
2020-09-13,"regular",19.0967906976744
2020-09-14,"regular",19.0786046511628
2020-09-15,"regular",19.0659302325581
2020-09-16,"regular",19.0137441860465
2020-09-17,"regular",18.9695348837209
2020-09-18,"regular",18.9622790697674
2020-09-19,"regular",18.9264186046512
2020-09-20,"regular",18.9137674418605
2020-09-21,"regular",18.913976744186
2020-09-22,"regular",18.9296511627907
2020-09-23,"regular",18.9391162790698
2020-09-24,"regular",18.9270697674419
2020-09-25,"regular",18.9185813953488
2020-09-26,"regular",18.9100465116279
2020-09-27,"regular",18.9147441860465
2020-09-28,"regular",18.9135813953488
2020-09-29,"regular",18.9412093023256
2020-09-30,"regular",18.9987441860465
2020-10-01,"regular",19.1095348837209
2020-10-02,"regular",19.1419534883721
2020-10-03,"regular",19.1214651162791
2020-10-04,"regular",19.1151395348837
2020-10-05,"regular",19.1091860465116
2020-10-06,"regular",19.1122325581395
2020-10-07,"regular",19.0686046511628
2020-10-08,"regular",19.0537906976744
2020-10-09,"regular",19.0576744186047
2020-10-10,"regular",19.0556744186046
2020-10-11,"regular",19.0535348837209
2020-10-12,"regular",19.054023255814
2020-10-13,"regular",19.0589534883721
2020-10-14,"regular",19.0376046511628
2020-10-15,"regular",19.0188604651163
