cve_ent,entidad,fecha,org,vivienda,creditos,monto,lcreditos,lmonto
1,Aguascalientes,01/09/2016,CONAVI,Nueva,13,758662.7339,,
1,Aguascalientes,01/09/2016,FONHAPO,Nueva,,,,
1,Aguascalientes,01/09/2016,FOVISSSTE,Nueva,22,12685126.4063,,
1,Aguascalientes,01/09/2016,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/09/2016,INFONAVIT,Nueva,233,71480922.0422,,
1,Aguascalientes,01/09/2016,ISSFAM,Nueva,,,,
1,Aguascalientes,01/09/2016,SHF,Nueva,,,,
1,Aguascalientes,01/09/2016,BANCA,Usada,186,158090229,,
1,Aguascalientes,01/09/2016,BANJERCITO,Usada,,,,
1,Aguascalientes,01/09/2016,CFE,Usada,5,4071690,,
1,Aguascalientes,01/09/2016,CONAVI,Usada,125,6778798.7755,,
1,Aguascalientes,01/09/2016,FONHAPO,Usada,,,,
1,Aguascalientes,01/09/2016,FOVISSSTE,Usada,52,33963991.7189,,
1,Aguascalientes,01/09/2016,HABITATMEXICO,Usada,,,,
1,Aguascalientes,01/09/2016,INFONAVIT,Usada,391,113282167.4618,,
1,Aguascalientes,01/09/2016,ISSFAM,Usada,2,663000,,
1,Aguascalientes,01/09/2016,SHF,Usada,,,,
1,Aguascalientes,01/10/2016,BANCA,Nueva,27,16146150,,
1,Aguascalientes,01/10/2016,BANJERCITO,Nueva,,,,
1,Aguascalientes,01/10/2016,CFE,Nueva,,,,
1,Aguascalientes,01/10/2016,CONAVI,Nueva,24,1541477.0723,,
1,Aguascalientes,01/10/2016,FONHAPO,Nueva,,,,
1,Aguascalientes,01/10/2016,FOVISSSTE,Nueva,31,18889583.1564,,
1,Aguascalientes,01/10/2016,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/10/2016,INFONAVIT,Nueva,221,69215671.79790001,,
1,Aguascalientes,01/10/2016,ISSFAM,Nueva,,,,
1,Aguascalientes,01/10/2016,SHF,Nueva,,,,
1,Aguascalientes,01/10/2016,BANCA,Usada,163,138940618,,
1,Aguascalientes,01/10/2016,BANJERCITO,Usada,1,417200,,
1,Aguascalientes,01/10/2016,CFE,Usada,,,,
1,Aguascalientes,01/10/2016,CONAVI,Usada,273,12766648.7287,,
